route_id,bus_number,starting_point,ending_point,via,via_stops,bus_count,high_frequency_route,night_service_route,low_frequency_route,rainfall_index
285,500A,chengalpattu,hasthinapuram,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Tambaram Sanatorium, Nehru nagar(Chrompet), Kumaran Kundram","['Singaperumal Koil', ' Maraimalai nagar IE', ' Guduvancherry', ' Vandalur Zoo', ' Tambaram', ' Tambaram Sanatorium', ' Nehru nagar(Chrompet)', ' Kumaran Kundram']",8,0,0,1,100
286,500B,high court,s.p.koil,"Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet, DMS, Central R.S","['Maraimalai nagar IE', ' Guduvancherry', ' Vandalur Zoo', ' Tambaram', ' Pallavaram', ' Guindy', ' Saidapet', ' DMS', ' Central R.S']",9,0,0,0,60
287,500C,chengalpattu,cmbt,"Singaperumal Koil, Maraimalai nagar IE, Guduvancherry, Vandalur Zoo, Tambaram, Pallavaram, Guindy, Saidapet","['Singaperumal Koil', ' Maraimalai nagar IE', ' Guduvancherry', ' Vandalur Zoo', ' Tambaram', ' Pallavaram', ' Guindy', ' Saidapet']",8,0,0,0,33
288,500J,chengalpattu,velachery,"Pallikkaranai, Medavakkam, Kamarajapuram, Camp Road, Tambaram East, Tambaram West, Vandalur Zoo","['Pallikkaranai', ' Medavakkam', ' Kamarajapuram', ' Camp Road', ' Tambaram East', ' Tambaram West', ' Vandalur Zoo']",7,0,0,0,90
289,500V,chengalpattu,velachery,"Guindy, Pallvaram, Tambaram West, Vandalur Zoo","['Guindy', ' Pallvaram', ' Tambaram West', ' Vandalur Zoo']",4,0,0,0,56
290,501,vadapalani,poondi,"Virugamabakkam, Valasarawakkam,Porur, Iyyapanthangal, Kumananchavadi, Poonamallee, Thirumazhisai, Nemam, Manavalan Nagar, Thiruvallur","['Virugamabakkam', ' Valasarawakkam', 'Porur', ' Iyyapanthangal', ' Kumananchavadi', ' Poonamallee', ' Thirumazhisai', ' Nemam', ' Manavalan Nagar', ' Thiruvallur']",10,0,0,0,14
291,502,broadway,sriperumbudur,"Central R.S, LIC, Saidapet, Guindy, Porur, Kumananchavadi, Poonamallee, Irrungattukottai","['Central R.S', ' LIC', ' Saidapet', ' Guindy', ' Porur', ' Kumananchavadi', ' Poonamallee', ' Irrungattukottai']",8,0,0,0,5
292,505,thiruvallur,red hills,"Alamadhi, Tamaraipakkam, Vishnuvakkam, Moolakarai, Ekkadu Kandigai","['Alamadhi', ' Tamaraipakkam', ' Vishnuvakkam', ' Moolakarai', ' Ekkadu Kandigai']",5,0,0,0,30
293,505A,thiruvallur,periyapalayam,"Vadamadurai, Vengal, Tamaraipakkam, Vishnuvakkam, Moolakarai, Ekkadu Kandigai","['Vadamadurai', ' Vengal', ' Tamaraipakkam', ' Vishnuvakkam', ' Moolakarai', ' Ekkadu Kandigai']",6,0,0,1,68
294,505P,red hills,periyapalayam,"Alamadhi, Tamaraipakkam, Vengal, Vadamadurai","['Alamadhi', ' Tamaraipakkam', ' Vengal', ' Vadamadurai']",4,0,0,1,58
